0x30b9e8db,전사의 길
0xa31e85ef,이끼로 흡수력을 높인 붕대입니다. 첨가된 은가루와 상처 연고가 독을 치료합니다.\n\n아이템 사용 시 10초에 걸쳐 체력의 80%를 회복합니다. \n\n피해든 받으면 치유 효과가 중단됩니다.
0xca234b73,먹을 수 있는 삼림 식물의 뿌리 부분입니다. 이것만으로 영양분을 보충할 수 없습니다. 곁들이는 재료로 좋지 않을까요?
0xe09cdfbc,이 아이템을 상처에 붙이면 10초 동안 체력의 40%를 채워줍니다.\n\피해를 받으면 치유 효과가 중단됩니다.
0x2272378a,"작은 불꽃, 가냘픈 빛 하나가\n어둠과 그 안의 모든 재앙을 몰아내리라"
0x414c76d7,"작은 불꽃, 가냘픈 빛 하나가\n어둠과 그 안의 모든 재앙을 몰아내리라"
0x829f12e7,휴식 레벨 1
0xb67a1f0f,예술품
0xc55a5806,벽난로
0xe1efd48e,휴식 레벨 2
0xf7006de1,병
0x036b8596,화살 속도
0x0456c8e2,초당 절단 피해량
0x10be424e,근접 둔기 피해량
0x12e7fb87,어둠의 안개 임계치까지 남은 시간
0x16cdf31d,아군 망자 레벨
0x1ecc77f2,지속 독 피해량
0x1f297fbf,어둠의 안개 체류 시간 비용
0x21206fd6,적중 시 지구력
0x2456e5af,지속 시간
0x2eb98a6e,투사체 관통 피해량
0x3f62f718,추가 절단 무기 피해량
0x41f607cf,활공 지구력 고갈
0x431acf63,어둠의 안개에서 보충된 시간
0x479b79df,망자 상대로 체력 흡수 확률
0x68a0fcbe,편안함 - 전리품
0x79b040ab,마법 둔기 피해량
0x7e65e95d,흠뻑 젖은 적 상대로 치명타 피해량
0x81ec5961,마법 피해량
0x9384941f,어둠의 안개에서의 양손 근접 피해
0x9474c605,2 중첩 시 기본 피해량
0x9a193976,기본 어둠의 안개 피해
0x9e4e6f89,어둠의 안개에서의 원거리 피해
0xa9817183,흠뻑 젖은 적 상대로 치명타 확률
0xaa06e3ec,지구력 소모량
0xc62dd7ad,지구력 고갈 수영 질주
0xcf435adc,3 중첩 시 기본 피해량
0xd3a54868,지구력 피해량
0xd4f2eedd,최대 지구력
0xe4173aa1,1 중첩 시 기본 피해량
0xed7227cf,어둠의 안개에서의 화염 마법 피해
0xefffd4ba,등반 지구력 고갈
0xf15dbcc2,질주 지구력 고갈
0xf59376f0,초당 지구력 소모
0xf99d45dd,어둠의 안개 체류 시간
0x65bbaf0f,전환
0xc3d944f7,활성화
0x025762ee,독에 여러 번 노출되어 피가 끈적해진 탓에 눈에 띄게 쇠약해졌습니다.\n\n이 새로운 질병이 장기적으로 활력에 영향을 미치지 않도록 <b>연금술사에게 치료법에 대해 물어봐야 합니다</b>.
0x038aaa90,수집한 히드락달 머리는 <b>화염 강화</b>에 사용할 수 있습니다.\n\n강화를 완료하는 데 필요한 다른 모든 재료를 모으세요. 그 후에는 베일워터 분지 더 깊은 곳으로 이동할 수 있게 됩니다.
0x066fc159,화염이 고대인 장로가 만든 방어벽이 자신의 사거리와 시야 내에 있음을 감지했습니다. 이 방벽 내에 도사리는 것은 화염의 눈에는 보이지 않습니다. 그러기에 당신의 호기심을 더더욱 끕니다.\n\n<b>이 어둠의 방벽에 도달하여 살펴보세요!</b>
0x0874a14b,지도에 <npc>사냥꾼</npc>이 잠들어 있는 고대 유적지의 위치가 표시되었습니다. 사냥꾼은 원거리 전투와 생존 능력이 뛰어납니다.
0x09c253b2,"연구자 <lorename>로레인 크림</lorename>의 메모에는 레벨우드, 유목민 고원 및 불타는 황무지에 있는 오벨리스크의 위치가 나타나 있습니다. \n\n유목민 고원에서 오벨리스크를 읽고 계속 진행하세요!"
0x0a0fec7f,"엠버베일이 ""어둠의 안개""에 잠식되어 무너졌습니다. 빛을 되찾고 야생에 <b>화염 제단을 건설하여</b> 땅을 되찾으세요!\n\n화염 제단을 건설하기에 적합한 장소가 지도에 표시되었습니다. 계속 진행하려면 해당 위치로 이동하세요."
0x0a2163ff,<lorename>고르만더</lorename>의 보물이 <location><lorename>파이크미드</lorename> 리치</location>의 황실 정원 어딘가에 묻혀 있다는 소문이 있습니다. 찾아내세요!
0x0b57dae7,"호수 옆 도시에 도착했습니다. 항구의 일부는 어둠의 안개에 삼켜졌지만, 예리한 눈으로 보면 멀지 않은 곳에 있는 등대의 꼭대기를 볼 수 있습니다.\n\n등대에 도착해 내부를 수색하여 새로운 지혜의 원천을 찾으세요!"
0x0bfd744a,"어둠의 상대와의 마지막 싸움은 흉터를 남겼습니다. 아직 상황을 파악할 수는 없지만, 어둠의 안개에 들어갈 때마다 숨 막히는 안개가 훨씬 더 빠르게 질식시킵니다.\n\n이 새로운 질병이 장기적으로 활력에 영향을 미치지 않도록 <b>연금술사에게 치료법에 대해 물어봐야 합니다</b>."
0x0fdcd17f,"""소용돌이"" 건설 현장의 한 노동자가 심각한 환각을 겪었고, 어둠의 안개로 내려가면서 이를 기록했습니다.\n\n그의 발자취를 따라 그가 어디로 갔는지 알아보세요!"
0x10b71d2c,"염소를 풀어놨습니다. 이제 필수 편의 시설을 제작하여 배치해야 합니다. \n동물의 요구를 충족시키려면 <b>일반 염소 먹이 공급기와 가축용 침대가 필요합니다.</b> \n\n<b>2마리의 행복한 동물이 서로 가까이에 있고</b> <b>여분의 침대</b>가 있다면, 동물은 <b>번식</b>할 수 있습니다.\n\n염소 먹이 공급기와 가축용 침대</b>를 제작하세요!"
0x10de4939,화염 제단에서 화염을 강화할 수 있습니다. 이를 통해 <b>어둠의 안개를 더 깊이 뚫고</b> 더 많은 기지를 <b>건설하여</b> 엠버베일을 보호할 수 있습니다.\n\n화염을 <b>강화하려면 불꽃</b> 및 기타 재료가 필요합니다. <b>화염 성소</b> 및 <b>화염 신전</b>에서 불꽃을 찾으세요.
0x10f99b73,어둠의 짐승의 인형을 찾았습니다.\n\n이제 농부 에밀리와 대화하여 그녀의 두려움을 덜어주세요!
0x125527b4,"<npc>대장장이</npc>가 수도인 <location><lorename>파이크미드</lorename> 리치</location> 쪽에서 사악한 기운이 느껴진다고 합니다. 전쟁으로 인해 수도가 멸망했거나, 혹은 강가 깊은 곳에서 나오는 기이한 빛 때문일지도 모른다며 걱정하고 있습니다."
0x13d40ff1,"누군가 <craftingstation>벌집 훈연 상자</craftingstation>을 훔쳐 꿀, 밀랍과 함께 부카 제물의 언덕으로 갔습니다. \n\n흔적을 따라 부카 도둑을 처치하고 <craftingstation>벌집 훈연 상자</craftingstation>을 되찾으세요. <craftingstation>꿀벌집</craftingstation> 및 벌꿀 생산이 해제될 것입니다."
0x14919dc4,연금술사는 당신이 재료를 더 효율적으로 분쇄할 방법을 찾길 바랍니다. 아마도 그런 수작업 없이 작동하는 기계를 발견할 수 있을 겁니다!\n\n베일워터 분지에 들어갈 때 주위를 둘러보세요. 화염이 당신이 찾는 해답을 품고 있는 어떤 마을로 당신을 부릅니다.
0x154a4cef,부카 야영지에서 투사가 탄생했습니다. 부카 의식의 언덕에서 <b>부카 투사를 쓰러뜨리고</b> 평화를 되찾으세요!
0x15ec6a38,<npc>사냥꾼</npc>은 레벨우드를 지나 <location>초원마을</location>에 도착한 모양입니다. 그녀의 <craftingstation>방추</craftingstation>는 다른 야영지에 남아 있을 것입니다.
0x183f8396,"<npc>농부</npc>는 벌집과 벌꿀을 만들고 싶어 하지만, <craftingstation>벌집 훈연 상자</craftingstation>가 없습니다. 오래전 <location>브리틀부쉬</location>에 있는 자신의 선술집으로 <craftingstation>벌집 훈연 상자</craftingstation>를 주문했지만, 떠나기 전까지 배송품이 도착하지 않았습니다. <craftingstation>벌집 훈연 상자</craftingstation>가 있어야 <craftingstation>꿀벌집</craftingstation> 제작 능력이 해제됩니다.\n\n<b><location>브리틀부쉬</location>에 있는 에밀리 프레이의 선술집</b>에서 단서를 찾고 <craftingstation>벌집 훈연 상자</craftingstation>를 되찾으세요."
0x1855c0d3,파이크에 섬뜩한 침묵이 감돕니다. 성을 조사하여 악몽의 근원과 아래에서 나오는 빛의 정체를 알아내세요.
0x196e6c4f,"<b>화염 제단을 강화</b>하여 거주지를 넓히고 보호 범위를 확장하세요. 화염 제단을 강화하려면 어둠의 안개 핵이 필요한데, <b>보스</b>를 처치하여 얻을 수 있습니다.\n\n범위를 넓히면 건물을 지을 공간을 더 많이 확보할 수 있습니다."
0x19f04711,불타는 황무지 근처 사냥 모임에 대한 언급이 있는 쪽지를 읽었습니다! 사냥 모임의 남은 인원을 찾아서 모임의 멤버를 수색하세요!
0x1d5f8329,황폐한 대지 위로 고대 첨탑의 모습이 희미하게 보입니다. 안으로 들어갈 방법이 있을 것입니다.
0x1f4c7cc5,"어부는 결투에서 드락 우두머리를 쓰러뜨리면 적들의 힘이 약해질 거라 생각합니다. 놈들의 사령관에게 도전하려면 먼저 실력을 증명해야 합니다.\n\n<b>드락 25마리를 처치하여 우두머리의 눈도장부터 받으세요.</b>\n\n드락은 베일워터 분지 심장부 어디서든 발견할 수 있으며, 서쪽으로 더 나아가도 찾을 수 있습니다. 이들은 어둠의 안개 위에서만 서식합니다. <b>적당한 장소가 지도에 표시되었습니다.</b>"
0x21bcc93a,어둠의 존재들이 태고의 정수를 가지고 구불구불한 어둠에 잠식 된 동굴로 들어갔습니다. 그들의 목적은 무엇일까요? \n\n계속 진행하려면 <b>어둠의 안개 소굴의 깊숙한 곳을 탐험하세요!</b> 앞으로 나아가면서 어둠의 안개로부터 태고의 정수를 되찾기 위해 더 많이 모아보세요!
0x233f168a,불타는 황무지에서 망자의 전당을 찾았습니다. 이 굴의 끝까지 내려가 <npc>수집가</npc>를 기쁘게 해주세요.
0x2400943e,"상인 메이가 목수 케이드에게 종이 등불을 판 적이 있다고 말했습니다. 메이가 등불의 디자인을 다시 본다면, 다시 등불을 만들어 공예품을 판매할 수 있을 것입니다. \n\n목수에게 말을 걸어 등불에 대해 물어보세요!"
0x246c7a1b,<npc>연금술사</npc>가 말한 야영지는 고대 태양 사원 바로 옆에 있습니다. <b>전설의 글라이더</b>가 내부에 있을 것입니다.
0x24f858fb,고대 유적지 입구를 찾았습니다. 생존자는 내부 어딘가에 있는 게 분명합니다.\n\n<b>고대 유적지 끝까지 도달하여 잠자는 생존자를 찾으세요!</b>
0x24fc48fd,농부는 동물을 길들이는 데 필요한 다양한 동물 먹이 미끼에 대한 제작법을 알고 있습니다. 첫 번째 가축을 길들이기 위해 농부와 함께 염소 먹이 미끼를 만드세요!\n\n제대로 진행하려면 적어도 3개의 염소 먹이 미끼가 필요합니다.
0x25669c71,창조의 기둥 내부 연구 구역에는 거대하고 기이한 구조물이 자리 잡고 있습니다. 발굴 야영지도 곳곳에 보입니다. 이 중 한 곳에 <craftingstation>석공 도구</craftingstation>가 있을 것입니다.
0x26dc3643,화염은 당신이 베일워터 분지에 있는 고대 첨탑을 정복하기를 원합니다.\n\n고대 첨탑의 꼭대기에 도달하여 이 지역의 <b>빠른 이동 지점과 새로운 관심 지점</b>을 지도에 잠금 해제하세요.
0x27a20106,음유시인은 이중주를 연주할 조수를 원합니다.\n\n그녀는 베일워터 분지에 있는 마을인 크롬빌에 유망한 후보가 될 수 있는 많은 음악가들이 있을 것이라고 믿습니다.\n\n계속 진행하려면 크롬빌에 도달하세요!
0x2d495a0f,대장장이는 알바네브 봉우리 지역을 알고 싶어합니다. 북부는 한때 더 많은 영약 우물을 건설하기 위해 확장했고 현지의 재료를 조달해 무기를 제작하여 방어했습니다. 이러한 재료는 제대로 된 대장간에서 생성한 열로만 제련할 수 있습니다.\n\n<b>대장간을 찾아서</b> 열원을 구하세요! 그러면 용광로를 제작할 수 있습니다.
0x2dd8d8de,"화염은 당신에게 울부짖는 봉우리 안에 사는 오염된 짐승을 제거하라는 임무를 주었습니다. \n\n이 짐승을 물리치면 지역이 평화로워지고 새로운 <b>화염 강화</b>가 가능해져 화염 제단을 <b>건설하면 추위를 막을 수 있게 됩니다.</b> \n짐승을 깨우고 끌어내려면 가장 안쪽 산을 둘러싼 <b>화톳불(""봉화"")에 불을 붙여야</b> 합니다. \n\n첫 번째 <b>봉화가 지도에 표시되어 있습니다.</b> 해당 위치에 도달해 진행하세요!"
0x2f821e9a,"대장간에 도착했지만, 설비를 방어 중인 약탈자로 가득 차 있습니다. 대장간의 중심에 도착하여 적을 처치하세요!"
0x30d3a0ef,"<npc>대장장이</npc>가 수신인을 알 수 없는 <b>수상한 편지</b>를 조사해 달라고 부탁했습니다. 내용을 보니 유목민 고원 지역에 있는 콘웨이 가문이 보낸 것 같았습니다. 물건은 무역 전초기지 ""이글거리는 바위""를 거쳤을 것입니다."
0x30e98142,"당신은 드라클링이 부화할 때 왜 따뜻한 광원이 필요한지, 이들이 어떻게 원추리를 활용해 이글거리는 불을 만들어내는지를 서술한 쪽지를 읽었습니다.\n\n<b>목수에게 돌아가 당신이 알아낸 사실을 전해주세요.</b>"
0x358293a1,유목민 고원에서 망자의 전당을 찾았습니다. 전당 끝까지 내려가 <npc>수집가</npc>를 기쁘게 해주세요.
0x3695c91b,길고양이를 길들이기 위해 필요한 고양이 먹이를 만들었습니다. 이제 <location>외톨이 엉겅퀴</location>에 가서 어둠의 안개 위에 있는 연금술사의 탑을 수색해 고양이를 찾고 길들이세요!
0x3700fbd5,"<npc>연금술사</npc>가 <b>정령 지팡이</b> 제작을 원합니다. 지팡이는 주문 충전, 채널 또는 영구 주문을 탄환처럼 사용하는 강력한 마법 무기입니다. 지팡이를 제작하려면 어둠의 안개 안에서 찾을 수 있는 어둠의 안개 나무가 필요합니다."
0x370f8bbc,"<npc>대장장이</npc>는 엠버베일을 뒤덮은 파멸의 안개, 어둠의 안개에 맞서 싸우고자 합니다. 어둠의 안개는 영약 우물에서 솟아납니다. \n\n근처 영약 우물에 도달하여 어둠의 안개에 대해 자세히 알아보세요."
0x38e2ee83,찾은 쪽지를 보니 영약 제조장에 작은 비밀 양조장이 있다는 사실이 나와 있습니다. 양조장을 찾아서 귀중품을 약탈하세요!
0x3b12a49e,약탈자들이 <keyitem>원형 톱날</keyitem>을 인근 야영지로 가져갔습니다. 이제 <b><keyitem>원형 톱날</keyitem>을 사용해 <craftingstation>탁자 톱</craftingstation>을 제작해야 합니다.</b> <npc>목수</npc>가 제작 방법을 알고 있습니다.
0x3bc9ab59,스프링랜드 망자의 전당 위치를 발견했습니다. 준비가 되면 전당으로 내려가 밑에 무엇이 있는지 확인하세요. <b>여럿이 플레이한다면 팀을 꾸려서 내려가는 것을 추천합니다.</b>
0x3c360651,"농부 에밀리는 어둠의 짐승을 무서워하는 것 같습니다. 그녀의 친구인 이발사 엘리오는 그녀의 두려움을 덜어주고 싶어 합니다!\n\n그는 이 짐승들이 푹신한 인형으로 표현되면 그렇게 무섭지 않을 것이라고 생각하며, 수도에서 아이들이 그런 장난감을 가지고 노는 것을 자주 보았다고 언급했습니다.\n\n<b>주 도시에 도착하여 인형을 찾아 에밀리에게 보여주세요!</b>"
0x3daf98c8,더 많은 <b>제작법</b>을 해제하려면 <npc>연금술사</npc>의 <craftingstation>막자사발</craftingstation>을 찾아야 합니다. <b><location>외톨이 엉겅퀴</location>에 위치한 연금술사의 탑에</b> 숨겨져 있을 것입니다. 땅 아래 공간에 주의를 기울이세요.
0x3ea3c1e2,"고대 첨탑 위에 화염을 점화했습니다. 당신은 멀리 떨어져 있음에도 얼어붙은 황무지가 오염된 것을 알게 되었습니다. 북부의 병사들은 이곳으로 영토를 확장하고 산의 눈과 고대인들을 오염시키는 영약 우물을 건설했습니다.\n\n주요 영약 우물을 찾아 그 안에 숨은 어둠의 악을 파괴하고 산을 되찾으세요! \n\n<b>준비 없이 가지 마세요. 혹독한 추위 속에서는 온기를 제공해 주는 따뜻한 옷, 음식 또는 횃불이 필요합니다.</b>\n<b>모와 따뜻한 충전재 키트</b>는 <b>따뜻한 방어구를 만드는 데 유용합니다.</b>"
0x3eee1c59,<npc>사냥꾼</npc>이 비밀 사냥터의 위치를 알려 주었습니다. <b>그곳을 조사</b>하여 무엇이 있는지 알아보세요!
0x3f11d0e6,<b><location>우드가드</location> 교회 안에 건설용 블록</b>이 숨겨져 있습니다. 마을 사람들은 이 블록으로 <b>지붕을 수리</b>하려고 했습니다. 블록을 찾아 새로운 건축 자재를 획득하세요!
0x40576a9f,<keyitem>원형 톱날</keyitem>을 발견했습니다. 이것으로 <npc>목수</npc>가 <craftingstation>탁자 톱</craftingstation>을 제작하면 더 많은 고급 제작법을 활성화할 수 있습니다.
0x406141d8,독수리들이 둥지를 짓는 장소에 도착했습니다. 나머지 벽걸이 도식의 절반이 가까이에 있습니다.\n\n지도에 표시된 독수리 둥지를 찾으세요!
0x418152cd,검은 수렁에서 비밀 제작법을 하나 발견했습니다! 이 지역에 흩어진 제작법 5개를 모두 획득하여 집으로 돌아가는 이동 선택지와 함께 강화 효과와 장식을 해제하세요!
0x424af57e,<b>기술 포인트</b>는 <b>기술 체계</b>에서 사용할 수 있습니다. 기술 체계를 열고 기술 포인트를 사용하면 새로운 능력을 얻을 수 있습니다.
0x445a7066,<npc>목수</npc>를 구할 수 있습니다! 소환해서 거점으로 데려와야 합니다.
0x44cf6236,<npc>수집가</npc>가 알바네브 봉우리에 있는 망자의 전당 위치를 드러냈습니다. 이 굴에 들어가려면 열쇠가 필요합니다.\n\n계속하려면 <b>수집가와 함께 열쇠를 제작하세요</b>.
0x44defe69,화염은 당신의 힘이 엄청나게 커졌다고 설명했습니다. 이제 어둠의 안개 또는 영약에 닿지 않은 채 죽은 사람들의 영혼을 되찾을 수 있습니다. 지도에 표시된 지역을 조사하여 단서를 찾으세요!
0x463450b6,<craftingstation>벌집 훈연 상자</craftingstation>는 <location>동부 라피스</location>에서 발송되었으나 도착하지 않았습니다. 교역로를 조사하면 더 많은 단서를 찾을 수 있을 것입니다. 해당 위치가 지도에 표시되었습니다.
0x4835a70d,<npc>연금술사</npc>가 <craftingstation>연금술 작업대</craftingstation>를 설치하려면 <craftingstation>검은 가마솥</craftingstation>이 필요하다고 합니다. 그는 <npc>농부</npc> 에밀리 프레이에게서 <lorename>이코라</lorename>라는 마법사에 관한 이야기를 들었다고 합니다. 그녀라면 더 자세한 내용을 알고 있을지도 모릅니다.
0x49a598cd,알바네브 봉우리에서 망자의 전당을 찾았습니다. 전당 끝까지 내려가 <npc>수집가</npc>를 기쁘게 해주세요.
0x49b1410c,"연구자 <lorename>로레인 크림</lorename>의 메모에는 레벨우드, 유목민 고원 및 불타는 황무지에 있는 오벨리스크의 위치가 나타나 있습니다. \n\n레벨우드에서 오벨리스크를 읽고 계속 진행하세요!"
0x4a8cb359,<npc>사냥꾼</npc>은 <location>초원마을</location>의 여관에 머물지 않았습니다. 그녀는 사람과의 접촉을 피하는 모양입니다. 대신 <b>근처에 야영지</b>를 마련했을 것입니다. 그녀의 <craftingstation>방추</craftingstation>도 멀지 않은 곳에 있을 것입니다.
0x4e856904,<npc>연금술사</npc>를 거점으로 데려와야 합니다! 거점으로 불러오려면 소환 지팡이의 힘이 필요할 것입니다.
0x4e978feb,<craftingstation>식물과 묘목 도감</craftingstation>은 <location>수라트의 휴식지</location>에서 찾을 수 있습니다. 거점에 배치하여 더 좋은 농작물을 재배하세요.
0x4ec67a30,농부가 생선스프에 질렸습니다. 그녀는 당신이 베일워터 분지의 물가 안팎에 서식하는 게를 사냥하여 무엇을 요리할 수 있을지 알고 싶어 합니다.\n\n<b>배낭에 게살을 챙겨 농부에게 돌아가세요.</b>
0x4ece4d64,"영약 우물은 무성하게 자란 구덩이로, 부패와 연기를 공기 중으로 내뿜고 있습니다. 영약 우물에 들어가서 이 악의 근원을 찾아 근절하세요."
0x4efb46f9,기록에 따르면 <lorename>로레인 크림</lorename>은 고대 오벨리스크를 조사하기 전 <b>고대 댐</b>을 먼저 조사한 것 같습니다. <keyitem>실험 도구</keyitem>는 야영지가 <b>독수리 무리의 공격</b>을 받았을 때 떨어뜨린 모양입니다. 지도에 지점을 표시해 두었습니다.
0x4f143d55,"<npc>목수</npc>는 자신의 트레이드마크인 <b>브레일린 다리의 한가운데 기둥 속에 보물을 숨겨 두었다</b>고 했습니다. 어떤 기둥인지 알아내고, 잔해에 파묻힌 상자를 발견하세요!"
0x4f7c092d,"<lorename>이코라</lorename>라고 해야 할까요, 그 남은 잔해라고 해야 할지 모르겠지만 사투 끝에 물리쳤습니다. 주변에 <craftingstation>검은 가마솥</craftingstation>이 있을 것입니다. <npc>연금술사</npc>라면 유용하게 사용할 수 있을 것입니다."
0x4fa27f9c,아탈란 스크리 <npc>사냥꾼</npc>이 인근 <b>소금 광산</b> 위치를 알려줬습니다. 모피를 보존하려면 소금이 필요합니다.
0x50a4cb2a,"어둠의 밴시를 처치하고 무기 보석을 발견했습니다!\n\n새로 획득한 보석, 적합한 무기, 그리고 태고의 정수를 가지고 보석 세공소에게 돌아가세요. \n<b>이것들을 사용하여 무기에 보석을 장착하여 강화하세요!</b>"
0x50c616a1,어떤 상인이 유목민 고원에서 이동하던 중 강도를 당했습니다. 그의 죽음은 당신이 한몫 잡을 기회이기도 하죠! <b>거대한 뼈 근처에 남겨진 전리품</b>을 찾으세요!
0x513030cd,불타는 황무지에서 잊힌 화염 사원의 위치를 발견했습니다. 해당 위치로 이동하여 탐색하고 불꽃을 손에 넣으세요!
0x52e377df,"목수가 거점 주변에서 도움의 손길이 필요합니다. 그는 브레일린 이모를 언급하며 이모도 마을 사람들처럼 죽음에서 다시 살아날 수 있을지 궁금해하고 있습니다. 그는 이모가 모험을 떠날 때마다 이모에게서 우편을 받곤 했지만, 이모는 오래전에 검은 수렁에 흥미로운 건축물을 살펴보러 떠났다가 실종되었습니다.\n\n이모는 특히 <i>사원, 탑, 다리</i>에 관심이 많았습니다. 검은 수렁 지역에는 숨겨진 사원이 많이 있으니 그곳에서부터 수색을 시작하세요!"
0x5421501b,<npc>목수</npc>는 더 많은 제작 도구를 만들 <craftingstation>석공 도구</craftingstation>를 원하고 있습니다. <craftingstation>석공 도구</craftingstation>는 <b>창조의 기둥</b> 내부의 연구 지역에서 찾을 수 있을 것입니다.
0x54c67b1b,"당신은 ""밤의 성소""라고 알려진 지역에 당도했습니다. 당신이 조사하려는 방어벽은 문의 형태로 모습을 드러냈습니다. 하지만 문의 정면을 장식한 별과 문을 볼 때 이는 절대 평범한 문이 아니며, 힘으로 강제로 연다고 열리지도 않는 듯합니다.\n\n<b>밤의 문을 여는 방법을 찾아서 사원 내부를 탐험하세요!</b>"
0x56aaca50,연금술사 조수인 폴레트가 망자의 전야에 온갖 영혼을 맞이하기 위해 기지에 호박 조각을 더하고 싶어 합니다! 호박 조각을 만드는 법을 배우려면 알바네브 봉우리에서 호박 농장을 찾아야 합니다!
0x5737bf05,<keyitem>실험 도구</keyitem>를 회수했습니다! <npc>연금술사</npc>에게 가져다 주면 더 많은 제작법과 치료법을 연구할 수 있는 연구소를 만들 수 있을 것입니다.
0x5b610e4e,영약 우물 안쪽 깊은 곳에 자리잡은 <b>어둠의 안개 뿌리</b>를 파괴해야 안개가 퍼지는 것을 막을 수 있을 것입니다.
0x5ce0e6f9,당신은 선장 출신으로 술집 주인과 어부로 여생을 보냈던 멜빌 폰테인의 영혼을 발견했습니다. \n\n그를 소환하여 베일워터 분지에 관해 더 알아내세요!
0x5eb74533,"당신은 근처 베일워터 분지로 이어지는 길에 도달했습니다.\n\n<b>이 길을 따라 반대편까지 도달하여</b> 새롭게 열린, 반짝이는 푸른 지평선 너머를 시야에 담아보세요!"
0x5f4a58f5,<npc>연금술사</npc>의 지하 연구소 문이 잠긴 것 같습니다. 하지만 <craftingstation>막자사발</craftingstation>은 이 안에 있는 것이 분명합니다. 탑 어딘가에 이 문을 열 수 있는 <b>비밀 장치</b>가 있을 것입니다.
0x604919fa,"등대에 들어가서 벽걸이 도식의 절반을 발견했습니다. 도식은 복잡한 연금술 용액의 구성을 설명하고 있는 것 같습니다... \n하지만 나머지 절반이 없으면 이것의 의미를 완전히 이해할 수 없습니다. 두 조각을 결합하면 더 나은 <b>마법 방어구</b>를 제작할 수 있는 보라색 천을 비롯해 여러 <b>새로운 제작법</b>을 알아낼 수 있습니다!\n\n등대는 <b>독수리 무리의 공격</b>을 받았고, 독수리가 둥지로 나머지 절반을 가져간 것 같습니다. \n\n<b>독수리 둥지를 찾아가서 도식의 나머지 절반을 찾으세요!</b>"
0x606c251c,"화염 성소의 유해 사이에서 <keyitem>가마솥</keyitem>가 발견되었습니다. 바닥에는 ""<lorename>라울</lorename>, 몸 조심해! — 에밀리 프레이""라고 새겨져 있습니다. \n\n이 <keyitem>가마솥</keyitem>를 사용해 <craftingstation>조리대</craftingstation>를 제작해야 합니다. 그러면 더 훌륭한 요리 제작법을 사용할 수 있게 됩니다."
0x61f30747,당신은 모험 중 드락 비늘을 얻었습니다. 이는 승리를 상징하는 좋은 기념품이 될 것입니다.\n\n<b>계속하려면 어부와 대화하세요.</b>
0x620d56d8,<npc>사냥꾼</npc>은 더 좋은 방어구에 필요한 충전재 키트를 제작할 수 있는 <craftingstation>베틀</craftingstation>이 필요하다고 했습니다. 동시에 <b><location>동부 라피스</location> 근처에 있는 직조공의 오두막</b>을 찾을 것을 제안했습니다. 지도에 해당 지역을 표시해 두었습니다. 직조공의 오두막은 <b>현수막으로 장식되어 있어</b> 찾기 쉬울 것입니다.
0x62e7668d,"사냥꾼이 언급한 드락 사원을 찾았습니다. 안으로 들어갈 방법을 찾아 당신의 기량을 증명하세요.\n\n사원의 일부는 물에 잠긴 것 같습니다. <b>들어가기 전에 최대 산소량을 늘리는 것을 권장합니다.</b>\n\n사원 안에 들어가면, 당신보다 먼저 이곳에서 잠수했던 자들의 운명을 밝혀내고 <b>그들의 장비를 회수해야 합니다.</b>"
0x635f025d,고대 첨탑에 오른 덕분에 이곳으로 빠른 이동을 할 수 있게 되었습니다.\n\n빠른 이동을 사용하여 스프링랜드의 고대 첨탑 꼭대기에 있는 화염과 대화해 진행하세요.\n\n직접 올랐던 고대 첨탑이나 본인의 화염 제단 어디로든 빠른 이동이 가능합니다.
0x64429f8e,또 다른 생존자를 찾을 수 있습니다! <npc>농부</npc>를 거점에 배치하면 식량 생산에 큰 도움이 될 것입니다.
0x64553c9b,"화염은 세상에 대한 정보를 담고 있는 ""고대 오벨리스크""에 대해 이야기했습니다. 오벨리스크는 숨겨진 진실을 보여주며, 일부는 <b>화염</b>과 연결되어 있습니다.\n\n지도에 해당 오벨리스크 중 하나의 위치가 표시되었습니다. 오벨리스크를 찾아 그 안에 숨겨진 비밀을 밝혀내세요. 오벨리스크의 비밀은 그것을 찾는 자에게만 드러날 것입니다."
0x661d3a80,당신은 밤의 성소의 깊숙한 곳에서 잠자는 생존자 한 명을 발견했습니다! \n\n<b>계속하려면 소환 지팡이로 생존자를 소환하세요!</b>
0x68475e6f,"벽걸이 도식의 두 부분을 모두 찾았습니다! \n\n도식의 의미를 알아내려면, 거점으로 돌아가 두 부분을 프레임에 넣어야 합니다!\n\n두 부분을 결합하면 더 많은 제작법을 밝혀내고 모베인색과 보라색 천으로 더 나은 마법 방어구를 제작할 수 있습니다!"
0x6abd1ccd,드락에 더 효과적으로 맞서 싸울 수 있는 물약을 제작했습니다. \n\n전투 전이나 전투 중에 <b>물약을 마시면</b> 그 강력한 효과를 느낄 수 있습니다. 복용 후에는 <b>드락의 문자를 읽을</b> 수도 있게 됩니다.
0x6b42ab88,<craftingstation>베틀</craftingstation>을 회수했습니다. 거점으로 가져가서 충전재 키트를 해제하고 더 좋은 방어구를 제작해 보세요.
0x6ce70bde,<craftingstation>식물과 묘목 도감</craftingstation>은 약탈자에 의해 약탈당했습니다. 그들은 전리품을 <location>수라트의 휴식지</location>로 가져갔습니다.
